message,strength_position.x,conciliatory_tone.x,argument_count.x,condition,party_parta,att_check_parta,pre_manip_gun_views,persuasiveness,affect,empathy,outgroup_aff,attitude_change,gun_views_change,party_partb,gender,race,pol_id,edu,party_strength,convincing_1,convincing_2,aff_participant_1,aff_participant_2,emp_1,emp_2,att_check_partb,cond,message_id,ID,age_centered,strength_position.y,conciliatory_tone.y,argument_count.y,strength_position,conciliatory_tone,argument_count,persuasion
"I believe that that Democrats should be in favor of less strict gun laws because it is our right as Americans to carry and bear arms. Historically, our nation was built on the backs of the soldiers who fought for our right to live in this country and to be free.

I think that just because there are a few crazy, irresponsible people that do not know how to handle guns, this should not infringe on the rights of other Americans who would like to own firearms. Besides, we should have the right to protect ourselves from the crazies who already own guns.",2,2,2,Low Utility,Republican,correct,1,12,15,21.5,2,1,2,Democrat,0,1,4,3,1,15,20,15,15,25,18,correct,0,1,58fc7958,-11.08555133079848,2,2,2,2,2,2,12
"look at what is going on in NYC. the criminals all have guns but law abiding citizens are not allowed to own a gun. now they defund the police, so there is no one to protect the honest citizens and they are not able to defend themselves with a gun. shootings are up a tremendous amount because criminals know the public is mostly unarmed and there is almost no chance of getting caught",2,2,2,Low Utility,Republican,correct,1,0.3333333333333333,3,3,1,1,1,Democrat,1,1,2,4,3,0,0,3,3,3,3,correct,0,2,27188046,24.91444866920152,2,2,2,2,2,2,0.3333333333333333
"I believe everyone does have a right to arm themselves. To protect and defend themselves, and their families. I've never been pro the idea of taking away the right to bare arms. With that said, the current gun laws are not strict enough. Straw man purchases happen everyday. Gun shows allow someone to buy a gun without almost any restrictions. People are walking around with automatic weapons originally created only for war.  No civilians ""need"" those. There are plenty of weapons in which people can arm themselves, but current gun culture shows not everyone needs access to a weapon, and no one needs a weapon that can fire bullet after bullet in a matter of seconds. What if I said I wanted a tank to protect myself. That doesn't mean I should be able to have one just because I want one. Some weapons for not safe or necessary for the average public to own or operate.",3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,2.5833333333333335,2.3666666666666667,2.864406779661017,NaN
"Would you want to be shot and killed by someone who was allowed a gun as easily as they were allowed to buy a pack of gum? How about someone you love? Who would you be willing to sacrifice in your quest to keep guns easily available. 

Stricter gun legislation does not at all equal taking guns out of the hands of people. It would only keep those guns from the hands of people who might be too mentally ill or too criminal to have them. If it means one innocent person is saved from being killed by a gun, tighter regulation on guns is necessary.",3,1,2,Low Utility,Democrat,correct,3,0.6666666666666666,1,1,1,1,1,Republican,0,1,7,1,3,1,0,0,2,1,1,correct,0,4,67cc7faa,14.91444866920152,3,1,1,3,1,1.5,0.6666666666666666
"I understand that access to guns is extremely important to you and you believe it is a right to own guns. Although, there have been so many deaths from guns that could have been prevented by further regulation.

It does not mean that people cannot buy guns, just that people who may not be safe to keep guns will be restricted from obtaining them. Guns can be very dangerous in the wrong hands.

For example, people could be trained on how to secure guns and handle guns safely before being able to carry and buy a gun. This would ensure that others cannot obtain the gun that they may use to kill others.",3,5,2,High Utility,Democrat,correct,2,38,55.5,55.5,3,4,2.75,Republican,1,1,5,3,2,61,49,51,60,50,61,correct,1,5,93d1a600,-7.085551330798481,3,5,2,3,5,2,38
"I can understand why Democrats would feel support for stricter gun laws. It is terrible to turn o the news and hear about another tragedy involving guns. No one wants to lose a loved one to gun violence.
However, we have strict gun laws as it is. There is a background check on people buying guns and a waiting period in many states. Gun owners are responsible. Many use guns to hunt for food or to participate in shooting matches in the competition. People who sense kill people with guns would find another weapon of choice if they did not have access to legally buying a gun. To blame all gun owners on the actions of some is just wrong.",3,4,5,High Utility,Republican,correct,1,4.666666666666667,26,52,6,1,4.5,Democrat,0,1,1,4,3,8,5,52,0,53,51,correct,1,6,83116445,-4.085551330798481,3,4,5,3,4,5,4.666666666666667
"Guns don't kill people, people kill people.It is our constitutional right to bare arms.We should be able to protect ourselves from intruders from all kinds.Whether it be in our homes or our nation,we should have that right to defend our families, and our neighbors who cannot defend themselves.Riots, invasion from another country, many situations. Like the Antifa invasions where people fended off the Antifa from causing problems.",2,1,2,High Utility,Republican,correct,1,40.666666666666664,50,30,2,2,1.75,Democrat,0,1,4,2,3,60,60,50,50,50,10,correct,1,7,ba87241f,34.91444866920152,NA,NA,NA,2,1,2,40.666666666666664
"I truly understand why a person could be against stricter gun laws. In fact, the right to bear arms was written into the constitution of our great country. Additionally, historical data from some other countries would indicate that disarming the general public could lead to political overthrows and governmental domination of the people.

However, I personally am in favor of enacting stricter gun laws in the United States because of the number of tragic gun-related deaths. Although I don't blame the guns on these deaths, I believe that mental health factors into this equation much more than is publicized. 

As an example, my ex-husband was diagnosed with long-term depression. To the average observer, you would think he was perfectly fine because he is highly functional. But he has an AK-47 wrapped in a towel inside of a tennis racket cover, 3 AR-15s with bump stocks, numerous rifles, shotguns and handguns. Additionally, he has many knives and a machete. No gun safe, the handguns have no safeties, and a closet is filled to the brim with ammunition. Although he is medicated, he is still extrememly paranoid and has a carry permit in his state of residence. This man has never hunted and does not go to shooting ranges. He is a ticking timebomb. I don't believe this is the scenario that our founding father's had in mind.",3,5,2,High Utility,Democrat,correct,3,33.666666666666664,68,83.5,1,1,1.25,Republican,1,1,6,3,3,50,50,70,66,87,80,correct,1,8,eceab3fc,-6.085551330798481,3,5,2,3,5,2,33.666666666666664
"In my conversations with people who want guns to be unrestricted, the vast majority of them say they want to be able to protect themselves and their families. Having access to guns gives them the feeling of security that they can defend their homes against any threats that come their way. By saying laws should be stricter, it's saying to them they can't keep their families safe.
There isn't anything more valuable to us than our families, and we want to protect them at all costs. I want to know I can send my kids to school or the mall or the movies and not have to worry about someone having a gun there. I don't want to hope someone else has a gun to stop the first person with a gun, I just don't want there to be a gun in the first place. By removing the main problem instead of adding to it, we can keep our families safe and sound.",2,2,1,High Utility,Democrat,correct,2,20.333333333333332,45,55,3,1,3,Republican,1,4,6,2,3,30,30,50,40,40,70,correct,1,9,f6eaf2d3,20.91444866920152,2,4,3,2,3,2,20.333333333333332
"We always hear that more guns will help like with a school shooter situation or in your home. Actually, you are more likely to get shot with your own gun if you do own a weapon, and having one if there is an active shooter situation is no guarantee. In fact, schools with police or security officers don't do any better.

More guns are not the answer. There are many loopholes currently that allow people to buy guns with no background checks. In the case of an domestic abuser, this can be life threatening. We can look at countries with stricter gun laws and see that there gun violence is very low. If we have stricter gun laws, we will see the same.",3,1,3,Low Utility,Democrat,correct,2,2,4.5,4,1,1,1,Republican,1,1,5,2,3,3,2,5,4,4,4,correct,0,10,dccab10c,9.91444866920152,3,2,4,3,1.5,3.5,2
"Democrats and people who are against guns are for the most part not against hunting or recreational Shooting Sports. They are instead disturbed by the incredibly High number of accidental deaths, gun related suicides, murders, and worst of all mass shootings and school shootings using automatic and rapid-fire weapons. Imposing stricter gun laws would relieve many of the fears and issues that Democrats have thus reducing overall pressure to get rid of guns all together. 

Restricting gun laws would also help with some of these statistics. Laws that prevent felons and those who have mental disorders that have been diagnosed is either suicidal or violent probably shouldn't have guns anyway. Is gun ownership in this country was primarily associated with sports and hunting instead of murder and suicide, there would not be pressure to get rid of guns. It is in the best interest of Republicans to get rid of automatic weapons which can really only be used to cause massive harm. No one wants to use an AK-47 on a deer because the meat is totally unusable. Last year I missed you",3,5,3,Low Utility,Democrat,correct,3,0.3333333333333333,0,0,1,1,1,Republican,0,1,7,3,3,0,0,0,0,0,0,correct,0,12,cd44143f,7.914448669201519,3,3,2,3,4,2.5,0.3333333333333333
"Based on all the recent and past shootings, it stands to reason that in most of those stricter gun laws would have prevented most of those shootings. If protection is your issue with wanting a gun, waiting the days required is not going to change anything. 
As far as assult rifles, nobody needs one of those guns for anything other than wanting to play with them, like a paint ball gun.....stupid!",3,1,2,Low Utility,Democrat,correct,2,0.3333333333333333,5,5,5,1,5,Republican,1,1,5,4,3,0,0,10,0,10,0,correct,0,13,81753ce3,-13.08555133079848,3,2,1,3,1.5,1.5,0.3333333333333333
